,DateTime,Seq,Temp,'C,Humidity,%
238,2015-6-10,22,13.0,'C,67.0,%
239,2015-6-10,23,12.0,'C,67.0,%
240,2015-6-11,0,11.5,'C,74.0,%
241,2015-6-11,1,11.0,'C,82.0,%
242,2015-6-11,2,11.0,'C,82.0,%
243,2015-6-11,3,11.0,'C,82.0,%
244,2015-6-11,4,11.0,'C,82.0,%
245,2015-6-11,5,11.5,'C,85.0,%
246,2015-6-11,6,13.5,'C,79.5,%
247,2015-6-11,7,15.5,'C,74.5,%
248,2015-6-11,8,17.0,'C,63.0,%
249,2015-6-11,9,18.5,'C,57.5,%
250,2015-6-11,10,19.5,'C,54.0,%
251,2015-6-11,11,21.0,'C,49.0,%
252,2015-6-11,12,21.0,'C,46.0,%
253,2015-6-11,13,21.5,'C,44.5,%
254,2015-6-11,14,22.0,'C,46.0,%
255,2015-6-11,15,21.5,'C,44.5,%
256,2015-6-11,16,22.0,'C,44.5,%
257,2015-6-11,17,21.0,'C,46.0,%
258,2015-6-11,18,19.5,'C,52.5,%
259,2015-6-11,19,19.0,'C,56.0,%
260,2015-6-11,20,18.0,'C,59.0,%
261,2015-6-11,21,16.5,'C,65.5,%
262,2015-6-11,22,16.0,'C,68.0,%
263,2015-6-11,23,16.0,'C,68.0,%
264,2015-6-12,0,15.0,'C,72.0,%
265,2015-6-12,1,14.0,'C,77.0,%
266,2015-6-12,2,14.0,'C,77.0,%
267,2015-6-12,3,13.0,'C,82.0,%
268,2015-6-12,4,13.0,'C,82.0,%
269,2015-6-12,5,13.5,'C,79.5,%
270,2015-6-12,6,15.0,'C,77.0,%
271,2015-6-12,7,16.5,'C,70.0,%
272,2015-6-12,8,17.5,'C,68.0,%
273,2015-6-12,9,18.0,'C,68.0,%
274,2015-6-12,10,20.5,'C,60.0,%
275,2015-6-12,11,22.0,'C,58.5,%
276,2015-6-12,12,23.5,'C,55.0,%
277,2015-6-12,13,24.0,'C,53.0,%
278,2015-6-12,14,24.0,'C,53.0,%
279,2015-6-12,15,23.0,'C,57.0,%
280,2015-6-12,16,23.5,'C,57.0,%
281,2015-6-12,17,23.0,'C,61.0,%
282,2015-6-12,18,23.0,'C,61.0,%
283,2015-6-12,19,21.0,'C,71.0,%
284,2015-6-12,20,19.5,'C,80.5,%
285,2015-6-12,21,18.0,'C,88.0,%
286,2015-6-12,22,18.0,'C,85.5,%
287,2015-6-12,23,17.0,'C,88.0,%
288,2015-6-13,0,17.0,'C,88.0,%
289,2015-6-13,1,18.0,'C,88.0,%
290,2015-6-13,2,18.0,'C,83.0,%
291,2015-6-13,3,17.5,'C,85.5,%
292,2015-6-13,4,16.5,'C,88.0,%
293,2015-6-13,5,16.0,'C,88.0,%
294,2015-6-13,6,16.0,'C,85.0,%
295,2015-6-13,7,16.0,'C,85.0,%
296,2015-6-13,8,16.0,'C,82.0,%
297,2015-6-13,9,16.0,'C,82.0,%
298,2015-6-13,10,16.0,'C,82.0,%
299,2015-6-13,11,16.0,'C,82.0,%
300,2015-6-13,12,16.0,'C,82.0,%
301,2015-6-13,13,17.5,'C,75.0,%
302,2015-6-13,14,18.5,'C,70.5,%
303,2015-6-13,15,20.5,'C,56.5,%
304,2015-6-13,16,20.5,'C,60.0,%
305,2015-6-13,17,19.0,'C,66.0,%
306,2015-6-13,18,19.0,'C,64.0,%
307,2015-6-13,19,18.5,'C,70.5,%
308,2015-6-13,20,18.0,'C,68.0,%
309,2015-6-13,21,18.0,'C,68.0,%
310,2015-6-13,22,17.5,'C,70.0,%
311,2015-6-13,23,17.0,'C,72.0,%
312,2015-6-14,0,16.0,'C,77.0,%
313,2015-6-14,1,15.0,'C,82.0,%
314,2015-6-14,2,14.5,'C,85.0,%
315,2015-6-14,3,13.5,'C,85.0,%
316,2015-6-14,4,13.0,'C,88.0,%
317,2015-6-14,5,13.5,'C,88.0,%
318,2015-6-14,6,14.5,'C,85.0,%
319,2015-6-14,7,15.0,'C,82.0,%
320,2015-6-14,8,16.0,'C,77.0,%
321,2015-6-14,9,15.0,'C,85.5,%
322,2015-6-14,10,14.0,'C,88.0,%
323,2015-6-14,11,14.0,'C,88.0,%
324,2015-6-14,12,14.0,'C,85.0,%
325,2015-6-14,13,14.0,'C,88.0,%
326,2015-6-14,14,16.5,'C,65.5,%
327,2015-6-14,15,17.5,'C,59.5,%
328,2015-6-14,16,17.0,'C,61.0,%
329,2015-6-14,17,17.0,'C,59.0,%
330,2015-6-14,18,16.0,'C,68.0,%
331,2015-6-14,19,14.5,'C,77.0,%
