,Temp('C),Humidity(%),Holiday,Watt
82,-0.36001440057602313,0.5583756345177664,1.0,0.04329004329004329
83,-0.36001440057602313,0.5583756345177664,1.0,0.047619047619047616
84,-0.36001440057602313,0.5583756345177664,1.0,0.41125541125541126
85,-0.36001440057602313,0.5583756345177664,1.0,0.3852813852813853
86,-0.36001440057602313,0.5583756345177664,1.0,0.37662337662337664
87,-0.36001440057602313,0.5583756345177664,1.0,0.3722943722943723
88,-0.36001440057602313,0.5583756345177664,1.0,0.38095238095238093
89,-0.36001440057602313,0.5583756345177664,1.0,0.3852813852813853
90,-0.36001440057602313,0.5583756345177664,1.0,0.38095238095238093
91,-0.36001440057602313,0.5583756345177664,1.0,0.3852813852813853
92,-0.36001440057602313,0.5583756345177664,1.0,0.38095238095238093
93,-0.36001440057602313,0.5583756345177664,1.0,0.36796536796536794
